N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr,P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa,T,rho,pkpt,pkpr,J1,J2,H1,H2
   1,0.139E+02,0.577E+00,  3522.881, 0.119E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.100E-07,0.100E+02,0.111E-04,.69274E+03,0.410E-05,  32.00164,  -0.03304,    0.3288333593E+04,    0.3901155187E+04,    0.1820808453E+04,    0.2209717989E+04
   2,0.139E+02,0.577E+00,  3522.881, 0.145E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.120E-07,0.120E+02,0.118E-04,.69275E+03,0.494E-05,  32.00222,  -0.03304,    0.3288564725E+04,    0.3901158065E+04,    0.1820799159E+04,    0.2209719395E+04
   3,0.139E+02,0.577E+00,  3522.881, 0.179E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.145E-07,0.145E+02,0.132E-04,.69277E+03,0.594E-05,  32.00775,  -0.03303,    0.3288876768E+04,    0.3901161951E+04,    0.1820786611E+04,    0.2209721292E+04
   4,0.139E+02,0.577E+00,  3522.881, 0.226E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.175E-07,0.175E+02,0.148E-04,.69279E+03,0.716E-05,  32.01305,  -0.03303,    0.3289298051E+04,    0.3901167197E+04,    0.1820769670E+04,    0.2209723854E+04
   5,0.139E+02,0.577E+00,  3522.881, 0.290E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.210E-07,0.210E+02,0.166E-04,.69281E+03,0.862E-05,  32.01806,  -0.03302,    0.3289866826E+04,    0.3901174279E+04,    0.1820746799E+04,    0.2209727313E+04
   6,0.139E+02,0.577E+00,  3522.881, 0.375E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.254E-07,0.254E+02,0.186E-04,.69285E+03,0.104E-04,  32.02269,  -0.03302,    0.3290634746E+04,    0.3901183842E+04,    0.1820715920E+04,    0.2209731983E+04
   7,0.139E+02,0.577E+00,  3522.881, 0.491E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.305E-07,0.305E+02,0.208E-04,.69290E+03,0.125E-04,  32.02680,  -0.03301,    0.3291671563E+04,    0.3901196753E+04,    0.1820674227E+04,    0.2209738287E+04
   8,0.139E+02,0.577E+00,  3522.881, 0.647E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.368E-07,0.368E+02,0.234E-04,.69297E+03,0.151E-04,  32.03025,  -0.03299,    0.3293071485E+04,    0.3901214187E+04,    0.1820617933E+04,    0.2209746799E+04
   9,0.139E+02,0.577E+00,  3522.881, 0.858E-04, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.443E-07,0.443E+02,0.262E-04,.69306E+03,0.181E-04,  32.03280,  -0.03298,    0.3294961761E+04,    0.3901237727E+04,    0.1820541921E+04,    0.2209758293E+04
  10,0.139E+02,0.577E+00,  3522.881, 0.114E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.534E-07,0.534E+02,0.294E-04,.69319E+03,0.219E-04,  32.03415,  -0.03296,    0.3297514303E+04,    0.3901269517E+04,    0.1820439278E+04,    0.2209773811E+04
  11,0.139E+02,0.577E+00,  3522.881, 0.153E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.643E-07,0.643E+02,0.329E-04,.69336E+03,0.263E-04,  32.03391,  -0.03294,    0.3300961411E+04,    0.3901312452E+04,    0.1820300662E+04,    0.2209794767E+04
  12,0.139E+02,0.577E+00,  3522.881, 0.205E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.774E-07,0.774E+02,0.369E-04,.69359E+03,0.317E-04,  32.03153,  -0.03291,    0.3305617079E+04,    0.3901370445E+04,    0.1820113445E+04,    0.2209823065E+04
  13,0.139E+02,0.577E+00,  3522.881, 0.275E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.933E-07,0.933E+02,0.414E-04,.69389E+03,0.382E-04,  32.02630,  -0.03288,    0.3311905890E+04,    0.3901448793E+04,    0.1819860553E+04,    0.2209861284E+04
  14,0.139E+02,0.577E+00,  3522.881, 0.369E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.112E-06,0.112E+03,0.465E-04,.69431E+03,0.459E-04,  32.01723,  -0.03284,    0.3320402245E+04,    0.3901554661E+04,    0.1819518886E+04,    0.2209912906E+04
  15,0.139E+02,0.577E+00,  3522.881, 0.497E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.135E-06,0.135E+03,0.522E-04,.69487E+03,0.553E-04,  32.00302,  -0.03279,    0.3331883742E+04,    0.3901697762E+04,    0.1819057169E+04,    0.2209982643E+04
  16,0.139E+02,0.577E+00,  3522.881, 0.671E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.163E-06,0.163E+03,0.585E-04,.69562E+03,0.665E-04,  31.98193,  -0.03272,    0.3347403929E+04,    0.3901891263E+04,    0.1818433028E+04,    0.2210076869E+04
  17,0.139E+02,0.577E+00,  3522.881, 0.905E-03, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.196E-06,0.196E+03,0.658E-04,.69664E+03,0.800E-04,  31.95162,  -0.03265,    0.3368391771E+04,    0.3902153053E+04,    0.1817588983E+04,    0.2210204214E+04
  18,0.139E+02,0.577E+00,  3522.881, 0.122E-02, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.236E-06,0.236E+03,0.739E-04,.69801E+03,0.962E-04,  31.90896,  -0.03255,    0.3396788094E+04,    0.3902507470E+04,    0.1816446958E+04,    0.2210376373E+04
  19,0.139E+02,0.577E+00,  3522.881, 0.165E-02, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.285E-06,0.285E+03,0.831E-04,.69985E+03,0.116E-03,  31.84982,  -0.03243,    0.3435233488E+04,    0.3902987708E+04,    0.1814900710E+04,    0.2210609202E+04
  20,0.139E+02,0.577E+00,  3522.881, 0.223E-02, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.343E-06,0.343E+03,0.936E-04,.70231E+03,0.139E-03,  31.76870,  -0.03228,    0.3487328353E+04,    0.3903639182E+04,    0.1812805349E+04,    0.2210924227E+04
  21,0.139E+02,0.577E+00,  3522.881, 0.303E-02, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.413E-06,0.413E+03,0.106E-03,.70562E+03,0.166E-03,  31.65843,  -0.03209,    0.3557994662E+04,    0.3904524254E+04,    0.1809962747E+04,    0.2211350696E+04
  22,0.139E+02,0.577E+00,  3522.881, 0.410E-02, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.498E-06,0.498E+03,0.119E-03,.71004E+03,0.199E-03,  31.50964,  -0.03185,    0.3653981995E+04,    0.3905728966E+04,    0.1806101111E+04,    0.2211928385E+04
  23,0.139E+02,0.577E+00,  3522.881, 0.557E-02, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.599E-06,0.599E+03,0.135E-03,.71592E+03,0.238E-03,  31.31036,  -0.03155,    0.3784578880E+04,    0.3907372700E+04,    0.1800846222E+04,    0.2212711414E+04
  24,0.139E+02,0.577E+00,  3522.881, 0.758E-02, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.722E-06,0.722E+03,0.153E-03,.72372E+03,0.283E-03,  31.04552,  -0.03116,    0.3962615967E+04,    0.3909622210E+04,    0.1793680801E+04,    0.2213773366E+04
  25,0.139E+02,0.577E+00,  3522.881, 0.103E-01, 9.356,0.840,     0.333,     0.333,     0.333,1115.2,0.100E+10,   0.94808,   0.30155,   0.06702,  16.42065,   0.16863,0.870E-06,0.870E+03,0.175E-03,.73398E+03,0.336E-03,  30.69668,  -0.03067,    0.4205880152E+04,    0.3912712184E+04,    0.1783887089E+04,    0.2215214016E+04
