N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr,P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa,T,rho,pkpt,pkpr,J1,J2,H1,H2
   1,0.139E+02,0.577E+00,  3522.881, 0.458E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.100E-07,0.100E+02,0.114E-04,.70117E+03,0.405E-05,  31.60693,  -0.03262,    0.3451449937E+04,    0.3974265004E+04,    0.1880891375E+04,    0.2257720152E+04
   2,0.139E+02,0.577E+00,  3522.881, 0.557E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.120E-07,0.120E+02,0.121E-04,.70117E+03,0.488E-05,  31.60904,  -0.03262,    0.3451541674E+04,    0.3974266135E+04,    0.1880887629E+04,    0.2257720699E+04
   3,0.139E+02,0.577E+00,  3522.881, 0.691E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.145E-07,0.145E+02,0.136E-04,.70118E+03,0.587E-05,  31.61489,  -0.03262,    0.3451665467E+04,    0.3974267662E+04,    0.1880882572E+04,    0.2257721438E+04
   4,0.139E+02,0.577E+00,  3522.881, 0.871E-05,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.175E-07,0.175E+02,0.152E-04,.70119E+03,0.707E-05,  31.62064,  -0.03261,    0.3451832521E+04,    0.3974269722E+04,    0.1880875749E+04,    0.2257722435E+04
   5,0.139E+02,0.577E+00,  3522.881, 0.111E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.210E-07,0.210E+02,0.170E-04,.70120E+03,0.852E-05,  31.62625,  -0.03261,    0.3452057953E+04,    0.3974272502E+04,    0.1880866542E+04,    0.2257723780E+04
   6,0.139E+02,0.577E+00,  3522.881, 0.144E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.254E-07,0.254E+02,0.191E-04,.70121E+03,0.103E-04,  31.63169,  -0.03260,    0.3452362168E+04,    0.3974276254E+04,    0.1880854117E+04,    0.2257725596E+04
   7,0.139E+02,0.577E+00,  3522.881, 0.189E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.305E-07,0.305E+02,0.214E-04,.70123E+03,0.124E-04,  31.63691,  -0.03259,    0.3452772700E+04,    0.3974281317E+04,    0.1880837349E+04,    0.2257728046E+04
   8,0.139E+02,0.577E+00,  3522.881, 0.248E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.368E-07,0.368E+02,0.240E-04,.70126E+03,0.149E-04,  31.64184,  -0.03258,    0.3453326714E+04,    0.3974288150E+04,    0.1880814721E+04,    0.2257731352E+04
   9,0.139E+02,0.577E+00,  3522.881, 0.329E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.443E-07,0.443E+02,0.268E-04,.70129E+03,0.179E-04,  31.64640,  -0.03257,    0.3454074370E+04,    0.3974297371E+04,    0.1880784184E+04,    0.2257735814E+04
  10,0.139E+02,0.577E+00,  3522.881, 0.438E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.534E-07,0.534E+02,0.301E-04,.70134E+03,0.216E-04,  31.65046,  -0.03255,    0.3455083373E+04,    0.3974309816E+04,    0.1880742973E+04,    0.2257741835E+04
  11,0.139E+02,0.577E+00,  3522.881, 0.585E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.643E-07,0.643E+02,0.337E-04,.70141E+03,0.260E-04,  31.65387,  -0.03253,    0.3456445119E+04,    0.3974326611E+04,    0.1880687354E+04,    0.2257749961E+04
  12,0.139E+02,0.577E+00,  3522.881, 0.784E-04,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.774E-07,0.774E+02,0.378E-04,.70149E+03,0.313E-04,  31.65643,  -0.03251,    0.3458282997E+04,    0.3974349280E+04,    0.1880612289E+04,    0.2257760927E+04
  13,0.139E+02,0.577E+00,  3522.881, 0.105E-03,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.933E-07,0.933E+02,0.423E-04,.70161E+03,0.377E-04,  31.65785,  -0.03248,    0.3460763613E+04,    0.3974379879E+04,    0.1880510971E+04,    0.2257775728E+04
  14,0.139E+02,0.577E+00,  3522.881, 0.141E-03,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.112E-06,0.112E+03,0.474E-04,.70177E+03,0.454E-04,  31.65776,  -0.03245,    0.3464111967E+04,    0.3974421184E+04,    0.1880374211E+04,    0.2257795704E+04
  15,0.139E+02,0.577E+00,  3522.881, 0.190E-03,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.135E-06,0.135E+03,0.531E-04,.70198E+03,0.547E-04,  31.65565,  -0.03241,    0.3468632001E+04,    0.3974476948E+04,    0.1880189593E+04,    0.2257822667E+04
  16,0.139E+02,0.577E+00,  3522.881, 0.256E-03,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.163E-06,0.163E+03,0.596E-04,.70227E+03,0.659E-04,  31.65086,  -0.03237,    0.3474734420E+04,    0.3974552243E+04,    0.1879940342E+04,    0.2257859063E+04
  17,0.139E+02,0.577E+00,  3522.881, 0.345E-03,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.196E-06,0.196E+03,0.668E-04,.70266E+03,0.793E-04,  31.64248,  -0.03232,    0.3482974431E+04,    0.3974653932E+04,    0.1879603779E+04,    0.2257908196E+04
  18,0.139E+02,0.577E+00,  3522.881, 0.465E-03,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.236E-06,0.236E+03,0.749E-04,.70318E+03,0.954E-04,  31.62931,  -0.03225,    0.3494102985E+04,    0.3974791300E+04,    0.1879149228E+04,    0.2257974533E+04
  19,0.139E+02,0.577E+00,  3522.881, 0.628E-03,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.285E-06,0.285E+03,0.840E-04,.70389E+03,0.115E-03,  31.60972,  -0.03217,    0.3509136503E+04,    0.3974976929E+04,    0.1878535164E+04,    0.2258064109E+04
  20,0.139E+02,0.577E+00,  3522.881, 0.848E-03,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.343E-06,0.343E+03,0.943E-04,.70484E+03,0.138E-03,  31.58156,  -0.03208,    0.3529451943E+04,    0.3975227885E+04,    0.1877705332E+04,    0.2258185089E+04
  21,0.139E+02,0.577E+00,  3522.881, 0.115E-02,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.413E-06,0.413E+03,0.106E-03,.70611E+03,0.166E-03,  31.54194,  -0.03197,    0.3556916800E+04,    0.3975567356E+04,    0.1876583428E+04,    0.2258348517E+04
  22,0.139E+02,0.577E+00,  3522.881, 0.155E-02,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.498E-06,0.498E+03,0.119E-03,.70783E+03,0.200E-03,  31.48702,  -0.03183,    0.3594067466E+04,    0.3976026907E+04,    0.1875065801E+04,    0.2258569350E+04
  23,0.139E+02,0.577E+00,  3522.881, 0.209E-02,25.000,0.840,     0.333,     0.333,     0.333,1122.6,0.100E+10,   0.97563,   0.30823,   0.06788,  16.40001,   0.16864,0.599E-06,0.599E+03,0.134E-03,.71013E+03,0.240E-03,  31.41176,  -0.03166,    0.3644354872E+04,    0.3976649623E+04,    0.1873011402E+04,    0.2258867848E+04
