N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0,t_th
  26,0.874E+01,.57735E+00,  3522.881, 0.973E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.109E-03,0.218E+03,0.409E-03,.16589E+04,0.373E-04,   3.62536,  -0.00314,    0.6436034607E+05,    0.1884276153E+05,    0.2565176603E+05,    0.1084642284E+05,    0.2625432416E+06,    0.2944055304E+06,    0.7864467753E+07,    0.5201785359E+04
  27,0.874E+01,.57735E+00,  3522.881, 0.110E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.123E-03,0.247E+03,0.407E-03,.16540E+04,0.423E-04,   3.71830,  -0.00323,    0.6533283499E+05,    0.1884981042E+05,    0.2502791748E+05,    0.1084585603E+05,    0.2625432416E+06,    0.2944055304E+06,    0.6946094546E+07,    0.5277098155E+04
  28,0.874E+01,.57735E+00,  3522.881, 0.124E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.140E-03,0.279E+03,0.404E-03,.16490E+04,0.480E-04,   3.81640,  -0.00332,    0.6639837098E+05,    0.1885773538E+05,    0.2436071346E+05,    0.1084528311E+05,    0.2625432416E+06,    0.2944055304E+06,    0.6131193593E+07,    0.5358039561E+04
  29,0.874E+01,.57735E+00,  3522.881, 0.139E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.158E-03,0.316E+03,0.401E-03,.16438E+04,0.545E-04,   3.91894,  -0.00342,    0.6756257680E+05,    0.1886664221E+05,    0.2365143919E+05,    0.1084471377E+05,    0.2625432416E+06,    0.2944055304E+06,    0.5407847094E+07,    0.5443839385E+04
  30,0.874E+01,.57735E+00,  3522.881, 0.157E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.179E-03,0.357E+03,0.399E-03,.16386E+04,0.619E-04,   4.02487,  -0.00352,    0.6883103425E+05,    0.1887665042E+05,    0.2290228145E+05,    0.1084415929E+05,    0.2625432416E+06,    0.2944055304E+06,    0.4765591587E+07,    0.5533217028E+04
  31,0.874E+01,.57735E+00,  3522.881, 0.177E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.202E-03,0.404E+03,0.396E-03,.16333E+04,0.702E-04,   4.13276,  -0.00362,    0.7020934286E+05,    0.1888789603E+05,    0.2211636042E+05,    0.1084363226E+05,    0.2625432416E+06,    0.2944055304E+06,    0.4195252585E+07,    0.5624253805E+04
  32,0.874E+01,.57735E+00,  3522.881, 0.199E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.229E-03,0.457E+03,0.394E-03,.16282E+04,0.797E-04,   4.24077,  -0.00373,    0.7170324087E+05,    0.1890053514E+05,    0.2129771382E+05,    0.1084314606E+05,    0.2625432416E+06,    0.2944055304E+06,    0.3688794655E+07,    0.5714268006E+04
  33,0.874E+01,.57735E+00,  3522.881, 0.224E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.258E-03,0.517E+03,0.391E-03,.16233E+04,0.904E-04,   4.34659,  -0.00382,    0.7331880062E+05,    0.1891474879E+05,    0.2045122593E+05,    0.1084271402E+05,    0.2625432416E+06,    0.2944055304E+06,    0.3239185098E+07,    0.5799712861E+04
  34,0.874E+01,.57735E+00,  3522.881, 0.253E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.292E-03,0.585E+03,0.389E-03,.16188E+04,0.103E-03,   4.44746,  -0.00392,    0.7506270577E+05,    0.1893074923E+05,    0.1958249766E+05,    0.1084234826E+05,    0.2625432416E+06,    0.2944055304E+06,    0.2840270194E+07,    0.5876126766E+04
  35,0.874E+01,.57735E+00,  3522.881, 0.284E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.331E-03,0.662E+03,0.388E-03,.16150E+04,0.116E-03,   4.54012,  -0.00400,    0.7694261037E+05,    0.1894878811E+05,    0.1869765737E+05,    0.1084205799E+05,    0.2625432416E+06,    0.2944055304E+06,    0.2486663718E+07,    0.5938173607E+04
  36,0.874E+01,.57735E+00,  3522.881, 0.320E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.374E-03,0.748E+03,0.388E-03,.16119E+04,0.132E-03,   4.62088,  -0.00407,    0.7896756976E+05,    0.1896916695E+05,    0.1780311473E+05,    0.1084184707E+05,    0.2625432416E+06,    0.2944055304E+06,    0.2173647648E+07,    0.5979815821E+04
  37,0.874E+01,.57735E+00,  3522.881, 0.361E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.423E-03,0.847E+03,0.388E-03,.16099E+04,0.149E-03,   4.68568,  -0.00412,    0.8114851882E+05,    0.1899225035E+05,    0.1690526008E+05,    0.1084171069E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1897084601E+07,    0.5994659267E+04
  38,0.874E+01,.57735E+00,  3522.881, 0.407E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.479E-03,0.958E+03,0.390E-03,.16090E+04,0.169E-03,   4.73016,  -0.00415,    0.8349875369E+05,    0.1901848216E+05,    0.1601011037E+05,    0.1084163063E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1653340378E+07,    0.5976491398E+04
  39,0.874E+01,.57735E+00,  3522.881, 0.460E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.542E-03,0.108E+04,0.393E-03,.16097E+04,0.191E-03,   4.74990,  -0.00415,    0.8603434580E+05,    0.1904840506E+05,    0.1512290139E+05,    0.1084156864E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1439213183E+07,    0.5919998069E+04
  40,0.874E+01,.57735E+00,  3522.881, 0.521E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.613E-03,0.123E+04,0.398E-03,.16119E+04,0.216E-03,   4.74059,  -0.00412,    0.8877437779E+05,    0.1908268321E+05,    0.1424763084E+05,    0.1084145724E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1251864296E+07,    0.5821588933E+04
  41,0.874E+01,.57735E+00,  3522.881, 0.590E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.693E-03,0.139E+04,0.405E-03,.16159E+04,0.244E-03,   4.69836,  -0.00406,    0.9174083917E+05,    0.1912212779E+05,    0.1338657633E+05,    0.1084118715E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1088744361E+07,    0.5680194905E+04
  42,0.874E+01,.57735E+00,  3522.881, 0.671E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.784E-03,0.157E+04,0.414E-03,.16218E+04,0.274E-03,   4.62017,  -0.00395,    0.9495796026E+05,    0.1916772404E+05,    0.1253985762E+05,    0.1084059064E+05,    0.2625432416E+06,    0.2944055304E+06,    0.9475118162E+06,    0.5497844433E+04
  43,0.874E+01,.57735E+00,  3522.881, 0.764E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.887E-03,0.177E+04,0.425E-03,.16297E+04,0.309E-03,   4.50421,  -0.00380,    0.9845071899E+05,    0.1922065828E+05,    0.1170518685E+05,    0.1083942051E+05,    0.2625432416E+06,    0.2944055304E+06,    0.8259469226E+06,    0.5279811199E+04
  44,0.874E+01,.57735E+00,  3522.881, 0.873E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.100E-02,0.201E+04,0.438E-03,.16394E+04,0.347E-03,   4.35024,  -0.00361,    0.1022422741E+06,    0.1928234279E+05,    0.1087803361E+05,    0.1083732491E+05,    0.2625432416E+06,    0.2944055304E+06,    0.7218756027E+06,    0.5034188473E+04
