N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0,t_th
  47,0.112E+02,.57735E+00,  3522.881, 0.296E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.145E-02,0.290E+04,0.143E-03,.12595E+04,0.655E-03,  13.13339,  -0.01269,    0.3461636857E+05,    0.1145762251E+05,    0.1002274865E+05,    0.6613178784E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.3328193812E+06,    0.3394272313E+05
  48,0.112E+02,.57735E+00,  3522.881, 0.359E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.164E-02,0.329E+04,0.156E-03,.12779E+04,0.730E-03,  12.72030,  -0.01222,    0.3709199121E+05,    0.1147916903E+05,    0.9677271513E+04,    0.6617413378E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2876388284E+06,    0.2982802475E+05
  49,0.112E+02,.57735E+00,  3522.881, 0.438E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.186E-02,0.372E+04,0.171E-03,.12989E+04,0.812E-03,  12.25230,  -0.01170,    0.4004736479E+05,    0.1150593223E+05,    0.9270440791E+04,    0.6622062689E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2481931151E+06,    0.2588773110E+05
  50,0.112E+02,.57735E+00,  3522.881, 0.537E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.210E-02,0.420E+04,0.189E-03,.13227E+04,0.902E-03,  11.72568,  -0.01111,    0.4357335217E+05,    0.1153945328E+05,    0.8793322527E+04,    0.6626975085E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2139955719E+06,    0.2215654606E+05
  51,0.112E+02,.57735E+00,  3522.881, 0.661E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.238E-02,0.476E+04,0.211E-03,.13495E+04,0.100E-02,  11.13757,  -0.01046,    0.4777184336E+05,    0.1158182743E+05,    0.8237435171E+04,    0.6631815431E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1847142322E+06,    0.1868095484E+05
  52,0.112E+02,.57735E+00,  3522.881, 0.820E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.269E-02,0.538E+04,0.238E-03,.13795E+04,0.111E-02,  10.48675,  -0.00974,    0.5274781400E+05,    0.1163589537E+05,    0.7596680485E+04,    0.6635920970E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1601729473E+06,    0.1551554346E+05
  53,0.112E+02,.57735E+00,  3522.881, 0.102E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.304E-02,0.609E+04,0.271E-03,.14126E+04,0.122E-02,   9.77481,  -0.00895,    0.5859111843E+05,    0.1170544891E+05,    0.6870655879E+04,    0.6638069004E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1402992791E+06,    0.1271482763E+05
  54,0.112E+02,.57735E+00,  3522.881, 0.129E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.344E-02,0.689E+04,0.310E-03,.14483E+04,0.135E-02,   9.00794,  -0.00809,    0.6534468286E+05,    0.1179538775E+05,    0.6069156916E+04,    0.6636141069E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1249847166E+06,    0.1032111112E+05
  55,0.112E+02,.57735E+00,  3522.881, 0.163E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.389E-02,0.779E+04,0.354E-03,.14859E+04,0.149E-02,   8.19888,  -0.00719,    0.7296257177E+05,    0.1191172035E+05,    0.5216132780E+04,    0.6626719544E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1138790162E+06,    0.8351785223E+04
  56,0.112E+02,.57735E+00,  3522.881, 0.207E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.441E-02,0.881E+04,0.404E-03,.15241E+04,0.164E-02,   7.36806,  -0.00626,    0.8127440343E+05,    0.1206129986E+05,    0.4349416631E+04,    0.6604747323E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1062470131E+06,    0.6791888989E+04
  57,0.112E+02,.57735E+00,  3522.881, 0.264E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.498E-02,0.997E+04,0.455E-03,.15617E+04,0.181E-02,   6.54260,  -0.00533,    0.8998070056E+05,    0.1225127849E+05,    0.3512958980E+04,    0.6563461767E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1010462796E+06,    0.5596645545E+04
  58,0.112E+02,.57735E+00,  3522.881, 0.334E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.564E-02,0.113E+05,0.507E-03,.15970E+04,0.200E-02,   5.75256,  -0.00442,    0.9868897094E+05,    0.1248841869E+05,    0.2743735913E+04,    0.6494773041E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.9721047019E+05,    0.4703260024E+04
  59,0.112E+02,.57735E+00,  3522.881, 0.422E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.638E-02,0.128E+05,0.555E-03,.16288E+04,0.222E-02,   5.02598,  -0.00357,    0.1069688253E+06,    0.1277847222E+05,    0.2062184338E+04,    0.6390082983E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.9390824526E+05,    0.4045719265E+04
  60,0.112E+02,.57735E+00,  3522.881, 0.529E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.721E-02,0.144E+05,0.599E-03,.16560E+04,0.247E-02,   4.38532,  -0.00280,    0.1143961287E+06,    0.1312574684E+05,    0.1473578777E+04,    0.6241393643E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.9059415742E+05,    0.3565802958E+04
  61,0.112E+02,.57735E+00,  3522.881, 0.659E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.816E-02,0.163E+05,0.639E-03,.16778E+04,0.276E-02,   3.84683,  -0.00214,    0.1205858800E+06,    0.1353283785E+05,    0.9774726325E+03,    0.6042542431E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.8690947678E+05,    0.3217610840E+04
  62,0.112E+02,.57735E+00,  3522.881, 0.813E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.923E-02,0.185E+05,0.673E-03,.16937E+04,0.309E-02,   3.42120,  -0.00158,    0.1252373424E+06,    0.1400045636E+05,    0.5753175012E+03,    0.5790411263E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.8259760588E+05,    0.2967040389E+04
  63,0.112E+02,.57735E+00,  3522.881, 0.995E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.104E-01,0.209E+05,0.704E-03,.17036E+04,0.348E-02,   3.11342,  -0.00113,    0.1281978154E+06,    0.1452733521E+05,    0.2703940432E+03,    0.5485878439E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.7750211110E+05,    0.2788992165E+04
  64,0.112E+02,.57735E+00,  3522.881, 0.121E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.118E-01,0.236E+05,0.731E-03,.17080E+04,0.393E-02,   2.92146,  -0.00081,    0.1295184087E+06,    0.1511025960E+05,    0.6256013118E+02,    0.5134193366E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.7160551870E+05,    0.2664287126E+04
  65,0.112E+02,.57735E+00,  3522.881, 0.146E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.134E-01,0.267E+05,0.756E-03,.17080E+04,0.444E-02,   2.83461,  -0.00059,    0.1294663288E+06,    0.1574429750E+05,   -0.5635998869E+02,    0.4744499148E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.6505126315E+05,    0.2577136957E+04
  66,0.112E+02,.57735E+00,  3522.881, 0.175E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.151E-01,0.302E+05,0.779E-03,.17048E+04,0.503E-02,   2.83312,  -0.00046,    0.1284779854E+06,    0.1642325626E+05,   -0.1032103692E+03,    0.4328459544E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.5812440480E+05,    0.2513457495E+04
  67,0.112E+02,.57735E+00,  3522.881, 0.209E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.171E-01,0.342E+05,0.803E-03,.17002E+04,0.571E-02,   2.88968,  -0.00038,    0.1270650554E+06,    0.1714024846E+05,   -0.1003983815E+03,    0.3898300675E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.5119295153E+05,    0.2460249453E+04
  68,0.112E+02,.57735E+00,  3522.881, 0.249E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.193E-01,0.387E+05,0.827E-03,.16957E+04,0.648E-02,   2.97313,  -0.00032,    0.1257044117E+06,    0.1788808571E+05,   -0.7104395968E+02,    0.3464880256E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.4462534620E+05,    0.2406172014E+04
  69,0.112E+02,.57735E+00,  3522.881, 0.295E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.219E-01,0.438E+05,0.854E-03,.16926E+04,0.734E-02,   3.05380,  -0.00024,    0.1247463433E+06,    0.1865917648E+05,   -0.3446236602E+02,    0.3036448113E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.3870898181E+05,    0.2342971333E+04
  70,0.112E+02,.57735E+00,  3522.881, 0.350E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.248E-01,0.495E+05,0.885E-03,.16914E+04,0.831E-02,   3.10895,  -0.00013,    0.1243656716E+06,    0.1944477984E+05,   -0.3381001447E+01,    0.2618508236E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.3359661074E+05,    0.2266803664E+04
  71,0.112E+02,.57735E+00,  3522.881, 0.413E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.280E-01,0.560E+05,0.920E-03,.16921E+04,0.939E-02,   3.12666,   0.00004,    0.1245644157E+06,    0.2023380486E+05,    0.1658103311E+02,    0.2214774527E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2929817486E+05,    0.2178371456E+04
  72,0.112E+02,.57735E+00,  3522.881, 0.489E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.317E-01,0.634E+05,0.959E-03,.16943E+04,0.106E-01,   3.10641,   0.00026,    0.1252186011E+06,    0.2101168332E+05,    0.2544211149E+02,    0.1828795037E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2571703372E+05,    0.2081547868E+04
  73,0.112E+02,.57735E+00,  3522.881, 0.578E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.358E-01,0.717E+05,0.100E-02,.16974E+04,0.120E-01,   3.05627,   0.00053,    0.1261478696E+06,    0.2176001180E+05,    0.2629565211E+02,    0.1465504113E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2270955007E+05,    0.1981235887E+04
  74,0.112E+02,.57735E+00,  3522.881, 0.683E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.405E-01,0.811E+05,0.105E-02,.17009E+04,0.135E-01,   2.98809,   0.00084,    0.1271794114E+06,    0.2245754589E+05,    0.2284220989E+02,    0.1131893217E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2013815508E+05,    0.1881606462E+04
  75,0.112E+02,.57735E+00,  3522.881, 0.808E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.459E-01,0.917E+05,0.110E-02,.17042E+04,0.153E-01,   2.91309,   0.00117,    0.1281847242E+06,    0.2308272106E+05,    0.1790901471E+02,    0.8363304311E+03,    0.1541407534E+06,   -0.3612495556E+06,    0.1789824093E+05,    0.1785340346E+04
  76,0.112E+02,.57735E+00,  3522.881, 0.956E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.519E-01,0.104E+06,0.115E-02,.17072E+04,0.172E-01,   2.83940,   0.00152,    0.1290866319E+06,    0.2361730246E+05,    0.1310197826E+02,    0.5867124407E+03,    0.1541407534E+06,   -0.3612495556E+06,    0.1591967460E+05,    0.1693724172E+04
  77,0.112E+02,.57735E+00,  3522.881, 0.113E+02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.587E-01,0.117E+06,0.121E-02,.17097E+04,0.195E-01,   2.77171,   0.00189,    0.1298498166E+06,    0.2405024724E+05,    0.9113696784E+01,    0.3882027564E+03,    0.1541407534E+06,   -0.3612495556E+06,    0.1415661902E+05,    0.1607094414E+04
  78,0.112E+02,.57735E+00,  3522.881, 0.134E+02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.664E-01,0.133E+06,0.127E-02,.17117E+04,0.220E-01,   2.71199,   0.00226,    0.1304693030E+06,    0.2438058234E+05,    0.6134528326E+01,    0.2414693698E+03,    0.1541407534E+06,   -0.3612495556E+06,    0.1257774336E+05,    0.1525246111E+04
  79,0.112E+02,.57735E+00,  3522.881, 0.159E+02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.751E-01,0.150E+06,0.133E-02,.17133E+04,0.249E-01,   2.66032,   0.00265,    0.1309623648E+06,    0.2461817719E+05,    0.4113065340E+01,    0.1421061776E+03,    0.1541407534E+06,   -0.3612495556E+06,    0.1116066239E+05,    0.1447695795E+04
  80,0.112E+02,.57735E+00,  3522.881, 0.188E+02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.849E-01,0.170E+06,0.140E-02,.17146E+04,0.281E-01,   2.61543,   0.00306,    0.1313620064E+06,    0.2478182217E+05,    0.2879629505E+01,    0.8149477949E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.9889089731E+04,    0.1373845101E+04
  81,0.112E+02,.57735E+00,  3522.881, 0.224E+02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.961E-01,0.192E+06,0.147E-02,.17158E+04,0.318E-01,   2.57510,   0.00348,    0.1317095216E+06,    0.2489499757E+05,    0.2215262212E+01,    0.4884845512E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.8750686952E+04,    0.1303102196E+04
  82,0.112E+02,.57735E+00,  3522.881, 0.265E+02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.109E+00,0.217E+06,0.155E-02,.17169E+04,0.359E-01,   2.53667,   0.00393,    0.1320465181E+06,    0.2498079286E+05,    0.1906753152E+01,    0.3368866288E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.7735016798E+04,    0.1234973756E+04
  83,0.112E+02,.57735E+00,  3522.881, 0.315E+02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.123E+00,0.246E+06,0.164E-02,.17180E+04,0.406E-01,   2.49747,   0.00441,    0.1324088621E+06,    0.2505793853E+05,    0.1786722867E+01,    0.2779050846E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.6831982888E+04,    0.1169113350E+04
  84,0.112E+02,.57735E+00,  3522.881, 0.375E+02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.139E+00,0.278E+06,0.173E-02,.17194E+04,0.459E-01,   2.45520,   0.00493,    0.1328245769E+06,    0.2513931982E+05,    0.1748911699E+01,    0.2593250981E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.6031172977E+04,    0.1105318326E+04
  85,0.112E+02,.57735E+00,  3522.881, 0.446E+02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.157E+00,0.315E+06,0.183E-02,.17210E+04,0.519E-01,   2.40808,   0.00548,    0.1333156042E+06,    0.2523291854E+05,    0.1739654314E+01,    0.2547761222E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.5322035856E+04,    0.1043489265E+04
  86,0.112E+02,.57735E+00,  3522.881, 0.531E+02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.178E+00,0.356E+06,0.193E-02,.17228E+04,0.586E-01,   2.35470,   0.00608,    0.1339014686E+06,    0.2534392659E+05,    0.1737976830E+01,    0.2539518253E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.4694412279E+04,    0.9835798394E+03
  87,0.112E+02,.57735E+00,  3522.881, 0.633E+02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.201E+00,0.403E+06,0.204E-02,.17251E+04,0.663E-01,   2.29381,   0.00673,    0.1346027226E+06,    0.2547667023E+05,    0.1737764636E+01,    0.2538475555E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.4138957806E+04,    0.9255592652E+03
  88,0.112E+02,.57735E+00,  3522.881, 0.756E+02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.228E+00,0.455E+06,0.216E-02,.17278E+04,0.748E-01,   2.22413,   0.00743,    0.1354432825E+06,    0.2563576684E+05,    0.1737747166E+01,    0.2538389711E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.3647301551E+04,    0.8693932989E+03
  89,0.112E+02,.57735E+00,  3522.881, 0.902E+02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.258E+00,0.515E+06,0.230E-02,.17310E+04,0.845E-01,   2.14422,   0.00819,    0.1364519380E+06,    0.2582667823E+05,    0.1737746306E+01,    0.2538385483E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.3212022755E+04,    0.8150381810E+03
  90,0.112E+02,.57735E+00,  3522.881, 0.108E+03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.291E+00,0.583E+06,0.244E-02,.17348E+04,0.954E-01,   2.05240,   0.00901,    0.1376636254E+06,    0.2605601804E+05,    0.1737746283E+01,    0.2538385370E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.2826561898E+04,    0.7624404108E+03
  91,0.112E+02,.57735E+00,  3522.881, 0.129E+03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.330E+00,0.659E+06,0.259E-02,.17393E+04,0.108E+00,   1.94667,   0.00990,    0.1391208466E+06,    0.2633183078E+05,    0.1737746282E+01,    0.2538385369E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.2485125013E+04,    0.7115384657E+03
  92,0.112E+02,.57735E+00,  3522.881, 0.155E+03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.373E+00,0.746E+06,0.276E-02,.17448E+04,0.121E+00,   1.82475,   0.01087,    0.1408754088E+06,    0.2666392217E+05,    0.1737746282E+01,    0.2538385369E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.2182596616E+04,    0.6622652374E+03
  93,0.112E+02,.57735E+00,  3522.881, 0.185E+03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.422E+00,0.844E+06,0.294E-02,.17513E+04,0.137E+00,   1.68392,   0.01193,    0.1429906019E+06,    0.2706427127E+05,    0.1737746282E+01,    0.2538385369E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.1914462573E+04,    0.6145509832E+03
  94,0.112E+02,.57735E+00,  3522.881, 0.222E+03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.477E+00,0.954E+06,0.314E-02,.17590E+04,0.154E+00,   1.52106,   0.01308,    0.1455439432E+06,    0.2754755003E+05,    0.1737746282E+01,    0.2538385369E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.1676741860E+04,    0.5683268164E+03
  95,0.112E+02,.57735E+00,  3522.881, 0.267E+03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.540E+00,0.108E+07,0.335E-02,.17682E+04,0.173E+00,   1.33253,   0.01435,    0.1486306671E+06,    0.2813178377E+05,    0.1737746282E+01,    0.2538385369E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.1465925964E+04,    0.5235287621E+03
  96,0.112E+02,.57735E+00,  3522.881, 0.322E+03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.611E+00,0.122E+07,0.359E-02,.17792E+04,0.195E+00,   1.11416,   0.01574,    0.1523682036E+06,    0.2883919881E+05,    0.1737746282E+01,    0.2538385369E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.1278924707E+04,    0.4801023557E+03
  97,0.112E+02,.57735E+00,  3522.881, 0.388E+03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.691E+00,0.138E+07,0.385E-02,.17923E+04,0.219E+00,   0.86115,   0.01727,    0.1569019899E+06,    0.2969732249E+05,    0.1737746282E+01,    0.2538385369E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.1113017264E+04,    0.4380076744E+03
  98,0.112E+02,.57735E+00,  3522.881, 0.468E+03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.781E+00,0.156E+07,0.414E-02,.18078E+04,0.245E+00,   0.56807,   0.01897,    0.1624131143E+06,    0.3074042997E+05,    0.1737746282E+01,    0.2538385369E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.9658071192E+03,    0.3972245601E+03
  99,0.112E+02,.57735E+00,  3522.881, 0.566E+03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.884E+00,0.177E+07,0.446E-02,.18261E+04,0.275E+00,   0.22878,   0.02087,    0.1691285286E+06,    0.3201147709E+05,    0.1737746282E+01,    0.2538385369E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.8351796836E+03,    0.3577576393E+03
 100,0.112E+02,.57735E+00,  3522.881, 0.685E+03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.100E+01,0.200E+07,0.481E-02,.18478E+04,0.302-313,  -0.16361,   0.02299,    0.1773349411E+06,    0.3356473004E+05,    0.1737746282E+01,    0.2538385369E+02,    0.1541407534E+06,   -0.3612495556E+06,    0.0000000000E+00,    0.2159280309-316
