N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0,t_th
  13,0.112E+02,.57735E+00,  3522.881, 0.963E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.220E-04,0.439E+02,0.237E-04,.11502E+04,0.108E-04,  15.56762,  -0.01576,    0.2189726124E+05,    0.1135788132E+05,    0.1186029529E+05,    0.6587336528E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2590146638E+08,    0.2697636839E+06
  14,0.112E+02,.57735E+00,  3522.881, 0.111E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.248E-04,0.497E+02,0.244E-04,.11502E+04,0.123E-04,  15.56980,  -0.01576,    0.2190431722E+05,    0.1135793210E+05,    0.1185924864E+05,    0.6587352495E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2289477361E+08,    0.2612394318E+06
  15,0.112E+02,.57735E+00,  3522.881, 0.129E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.281E-04,0.562E+02,0.252E-04,.11503E+04,0.139E-04,  15.57167,  -0.01575,    0.2191256847E+05,    0.1135799149E+05,    0.1185802474E+05,    0.6587371166E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2023673620E+08,    0.2526317309E+06
  16,0.112E+02,.57735E+00,  3522.881, 0.149E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.318E-04,0.636E+02,0.261E-04,.11504E+04,0.157E-04,  15.57317,  -0.01575,    0.2192223057E+05,    0.1135806104E+05,    0.1185659161E+05,    0.6587393025E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1788690358E+08,    0.2439638811E+06
  17,0.112E+02,.57735E+00,  3522.881, 0.174E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.360E-04,0.719E+02,0.271E-04,.11505E+04,0.177E-04,  15.57426,  -0.01575,    0.2193356010E+05,    0.1135814261E+05,    0.1185491123E+05,    0.6587418653E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1580951679E+08,    0.2352595377E+06
  18,0.112E+02,.57735E+00,  3522.881, 0.202E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.407E-04,0.813E+02,0.281E-04,.11506E+04,0.201E-04,  15.57485,  -0.01574,    0.2194686280E+05,    0.1135823840E+05,    0.1185293828E+05,    0.6587448740E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1397296419E+08,    0.2265424487E+06
  19,0.112E+02,.57735E+00,  3522.881, 0.235E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.460E-04,0.920E+02,0.292E-04,.11508E+04,0.227E-04,  15.57486,  -0.01574,    0.2196250335E+05,    0.1135835104E+05,    0.1185061873E+05,    0.6587484107E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1234930045E+08,    0.2178361896E+06
  20,0.112E+02,.57735E+00,  3522.881, 0.275E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.520E-04,0.104E+03,0.304E-04,.11510E+04,0.257E-04,  15.57419,  -0.01573,    0.2198091715E+05,    0.1135848369E+05,    0.1184788809E+05,    0.6587525734E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1091382125E+08,    0.2091639019E+06
  21,0.112E+02,.57735E+00,  3522.881, 0.321E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.589E-04,0.118E+03,0.317E-04,.11512E+04,0.290E-04,  15.57271,  -0.01572,    0.2200262448E+05,    0.1135864010E+05,    0.1184466928E+05,    0.6587574794E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.9644687306E+07,    0.2005480402E+06
  22,0.112E+02,.57735E+00,  3522.881, 0.376E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.666E-04,0.133E+03,0.331E-04,.11514E+04,0.328E-04,  15.57027,  -0.01571,    0.2202824763E+05,    0.1135882478E+05,    0.1184087018E+05,    0.6587632683E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.8522592118E+07,    0.1920101336E+06
