N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0,t_th
   1,0.874E+01,.57735E+00,  3522.881, 0.457E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.500E-05,0.100E+02,0.427E-03,.17062E+04,0.166E-05,   2.64622,  -0.00220,    0.5624358970E+05,    0.1879016049E+05,    0.3139002720E+05,    0.1085282144E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1694468837E+09,    0.4575658410E+04
   2,0.874E+01,.57735E+00,  3522.881, 0.561E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.615E-05,0.123E+02,0.425E-03,.17056E+04,0.205E-05,   2.70507,  -0.00226,    0.5634471848E+05,    0.1879075325E+05,    0.3131296551E+05,    0.1085272342E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1378307464E+09,    0.4599510351E+04
   3,0.874E+01,.57735E+00,  3522.881, 0.689E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.756E-05,0.151E+02,0.425E-03,.17048E+04,0.252E-05,   2.72450,  -0.00228,    0.5646871521E+05,    0.1879148204E+05,    0.3121866077E+05,    0.1085260385E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1121221802E+09,    0.4607339459E+04
   4,0.874E+01,.57735E+00,  3522.881, 0.847E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.930E-05,0.186E+02,0.425E-03,.17038E+04,0.310E-05,   2.74672,  -0.00230,    0.5662064366E+05,    0.1879237798E+05,    0.3110338779E+05,    0.1085245828E+05,    0.2625432416E+06,    0.2944055304E+06,    0.9121691694E+08,    0.4617027335E+04
   5,0.874E+01,.57735E+00,  3522.881, 0.104E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.114E-04,0.229E+02,0.425E-03,.17026E+04,0.381E-05,   2.77232,  -0.00232,    0.5680663204E+05,    0.1879347929E+05,    0.3096268602E+05,    0.1085228148E+05,    0.2625432416E+06,    0.2944055304E+06,    0.7421700957E+08,    0.4629060948E+04
   6,0.874E+01,.57735E+00,  3522.881, 0.128E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.141E-04,0.281E+02,0.425E-03,.17011E+04,0.469E-05,   2.80203,  -0.00235,    0.5703406712E+05,    0.1879483281E+05,    0.3079125049E+05,    0.1085206739E+05,    0.2625432416E+06,    0.2944055304E+06,    0.6039226511E+08,    0.4644040335E+04
   7,0.874E+01,.57735E+00,  3522.881, 0.157E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.173E-04,0.346E+02,0.424E-03,.16994E+04,0.578E-05,   2.83670,  -0.00238,    0.5731180860E+05,    0.1879649591E+05,    0.3058282597E+05,    0.1085180908E+05,    0.2625432416E+06,    0.2944055304E+06,    0.4914888516E+08,    0.4662700684E+04
   8,0.874E+01,.57735E+00,  3522.881, 0.193E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.213E-04,0.426E+02,0.424E-03,.16972E+04,0.712E-05,   2.87734,  -0.00242,    0.5765041715E+05,    0.1879853878E+05,    0.3033011733E+05,    0.1085149886E+05,    0.2625432416E+06,    0.2944055304E+06,    0.4000396735E+08,    0.4685936463E+04
   9,0.874E+01,.57735E+00,  3522.881, 0.238E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.262E-04,0.523E+02,0.423E-03,.16946E+04,0.877E-05,   2.92511,  -0.00246,    0.5806238459E+05,    0.1880104715E+05,    0.3002473589E+05,    0.1085112838E+05,    0.2625432416E+06,    0.2944055304E+06,    0.3256477414E+08,    0.4714826004E+04
  10,0.874E+01,.57735E+00,  3522.881, 0.292E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.322E-04,0.644E+02,0.422E-03,.16915E+04,0.108E-04,   2.98134,  -0.00252,    0.5856234681E+05,    0.1880412553E+05,    0.2965721107E+05,    0.1085068906E+05,    0.2625432416E+06,    0.2944055304E+06,    0.2651187991E+08,    0.4750653225E+04
  11,0.874E+01,.57735E+00,  3522.881, 0.358E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.396E-04,0.792E+02,0.421E-03,.16878E+04,0.133E-04,   3.04752,  -0.00258,    0.5916725091E+05,    0.1880790103E+05,    0.2921710712E+05,    0.1085017264E+05,    0.2625432416E+06,    0.2944055304E+06,    0.2158547508E+08,    0.4794920277E+04
  12,0.874E+01,.57735E+00,  3522.881, 0.440E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.487E-04,0.973E+02,0.420E-03,.16835E+04,0.164E-04,   3.12524,  -0.00265,    0.5989643795E+05,    0.1881252783E+05,    0.2869329574E+05,    0.1084957218E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1757424160E+08,    0.4849339921E+04
