N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0
   1,0.112E+02,.57735E+00,  3522.881, 0.192E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.500E-05,0.100E+02,0.180E-04,.11498E+04,0.247E-05,  15.53279,  -0.01575,    0.2186108896E+05,    0.1135762109E+05,    0.1186566134E+05,    0.6587254661E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.1137823900E+09
   2,0.112E+02,.57735E+00,  3522.881, 0.217E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.566E-05,0.113E+02,0.181E-04,.11498E+04,0.279E-05,  15.53230,  -0.01575,    0.2186228217E+05,    0.1135762967E+05,    0.1186548432E+05,    0.6587257362E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.1005827084E+09
   3,0.112E+02,.57735E+00,  3522.881, 0.247E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.640E-05,0.128E+02,0.185E-04,.11498E+04,0.316E-05,  15.53602,  -0.01576,    0.2186365677E+05,    0.1135763956E+05,    0.1186528039E+05,    0.6587260475E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.8891409100E+08
   4,0.112E+02,.57735E+00,  3522.881, 0.280E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.724E-05,0.145E+02,0.188E-04,.11498E+04,0.357E-05,  15.53967,  -0.01576,    0.2186524210E+05,    0.1135765096E+05,    0.1186504520E+05,    0.6587264064E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.7859893708E+08
   5,0.112E+02,.57735E+00,  3522.881, 0.319E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.819E-05,0.164E+02,0.192E-04,.11499E+04,0.404E-05,  15.54325,  -0.01576,    0.2186707252E+05,    0.1135766413E+05,    0.1186477365E+05,    0.6587268208E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.6948024657E+08
   6,0.112E+02,.57735E+00,  3522.881, 0.364E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.926E-05,0.185E+02,0.196E-04,.11499E+04,0.457E-05,  15.54675,  -0.01576,    0.2186918836E+05,    0.1135767935E+05,    0.1186445976E+05,    0.6587272998E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.6141923052E+08
   7,0.112E+02,.57735E+00,  3522.881, 0.417E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.105E-04,0.210E+02,0.201E-04,.11499E+04,0.517E-05,  15.55016,  -0.01576,    0.2187163707E+05,    0.1135769697E+05,    0.1186409649E+05,    0.6587278542E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.5429319863E+08
   8,0.112E+02,.57735E+00,  3522.881, 0.477E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.119E-04,0.237E+02,0.206E-04,.11499E+04,0.585E-05,  15.55346,  -0.01576,    0.2187447447E+05,    0.1135771738E+05,    0.1186367556E+05,    0.6587284965E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.4799369188E+08
   9,0.112E+02,.57735E+00,  3522.881, 0.547E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.134E-04,0.268E+02,0.211E-04,.11500E+04,0.662E-05,  15.55663,  -0.01576,    0.2187776638E+05,    0.1135774107E+05,    0.1186318721E+05,    0.6587292417E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.4242483173E+08
  10,0.112E+02,.57735E+00,  3522.881, 0.629E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.152E-04,0.303E+02,0.217E-04,.11500E+04,0.749E-05,  15.55966,  -0.01576,    0.2188159048E+05,    0.1135776858E+05,    0.1186261992E+05,    0.6587301074E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.3750186079E+08
  11,0.112E+02,.57735E+00,  3522.881, 0.723E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.172E-04,0.343E+02,0.223E-04,.11500E+04,0.847E-05,  15.56252,  -0.01576,    0.2188603857E+05,    0.1135780059E+05,    0.1186196007E+05,    0.6587311142E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.3314985282E+08
  12,0.112E+02,.57735E+00,  3522.881, 0.834E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.194E-04,0.388E+02,0.229E-04,.11501E+04,0.958E-05,  15.56518,  -0.01576,    0.2189121926E+05,    0.1135783787E+05,    0.1186119156E+05,    0.6587322868E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.2930257231E+08
  13,0.112E+02,.57735E+00,  3522.881, 0.963E-04, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.220E-04,0.439E+02,0.237E-04,.11502E+04,0.108E-04,  15.56762,  -0.01576,    0.2189726126E+05,    0.1135788135E+05,    0.1186029530E+05,    0.6587336542E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.2590146639E+08
  14,0.112E+02,.57735E+00,  3522.881, 0.111E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.248E-04,0.497E+02,0.244E-04,.11502E+04,0.123E-04,  15.56980,  -0.01576,    0.2190431724E+05,    0.1135793213E+05,    0.1185924866E+05,    0.6587352509E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.2289477362E+08
  15,0.112E+02,.57735E+00,  3522.881, 0.129E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.281E-04,0.562E+02,0.252E-04,.11503E+04,0.139E-04,  15.57167,  -0.01575,    0.2191256849E+05,    0.1135799152E+05,    0.1185802475E+05,    0.6587371179E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.2023673621E+08
  16,0.112E+02,.57735E+00,  3522.881, 0.149E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.318E-04,0.636E+02,0.261E-04,.11504E+04,0.157E-04,  15.57317,  -0.01575,    0.2192223059E+05,    0.1135806107E+05,    0.1185659162E+05,    0.6587393039E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.1788690359E+08
  17,0.112E+02,.57735E+00,  3522.881, 0.174E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.360E-04,0.719E+02,0.271E-04,.11505E+04,0.177E-04,  15.57426,  -0.01575,    0.2193356012E+05,    0.1135814264E+05,    0.1185491124E+05,    0.6587418667E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.1580951679E+08
  18,0.112E+02,.57735E+00,  3522.881, 0.202E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.407E-04,0.813E+02,0.281E-04,.11506E+04,0.201E-04,  15.57485,  -0.01574,    0.2194686282E+05,    0.1135823843E+05,    0.1185293829E+05,    0.6587448754E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.1397296419E+08
  19,0.112E+02,.57735E+00,  3522.881, 0.235E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.460E-04,0.920E+02,0.292E-04,.11508E+04,0.227E-04,  15.57486,  -0.01574,    0.2196250337E+05,    0.1135835107E+05,    0.1185061875E+05,    0.6587484120E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.1234930046E+08
  20,0.112E+02,.57735E+00,  3522.881, 0.275E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.520E-04,0.104E+03,0.304E-04,.11510E+04,0.257E-04,  15.57419,  -0.01573,    0.2198091717E+05,    0.1135848372E+05,    0.1184788810E+05,    0.6587525748E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.1091382125E+08
  21,0.112E+02,.57735E+00,  3522.881, 0.321E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.589E-04,0.118E+03,0.317E-04,.11512E+04,0.290E-04,  15.57271,  -0.01572,    0.2200262450E+05,    0.1135864013E+05,    0.1184466929E+05,    0.6587574807E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.9644687310E+07
  22,0.112E+02,.57735E+00,  3522.881, 0.376E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.666E-04,0.133E+03,0.331E-04,.11514E+04,0.328E-04,  15.57027,  -0.01571,    0.2202824765E+05,    0.1135882481E+05,    0.1184087019E+05,    0.6587632697E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.8522592121E+07
  23,0.112E+02,.57735E+00,  3522.881, 0.440E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.753E-04,0.151E+03,0.346E-04,.11517E+04,0.371E-04,  15.56672,  -0.01570,    0.2205853146E+05,    0.1135904316E+05,    0.1183638055E+05,    0.6587701089E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.7530468183E+07
  24,0.112E+02,.57735E+00,  3522.881, 0.517E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.852E-04,0.170E+03,0.362E-04,.11521E+04,0.420E-04,  15.56182,  -0.01568,    0.2209436810E+05,    0.1135930166E+05,    0.1183106838E+05,    0.6587781983E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.6653227354E+07
  25,0.112E+02,.57735E+00,  3522.881, 0.608E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.964E-04,0.193E+03,0.380E-04,.11525E+04,0.475E-04,  15.55535,  -0.01567,    0.2213682690E+05,    0.1135960808E+05,    0.1182477554E+05,    0.6587877772E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.5877531359E+07
  26,0.112E+02,.57735E+00,  3522.881, 0.715E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.109E-03,0.218E+03,0.398E-04,.11530E+04,0.537E-04,  15.54701,  -0.01565,    0.2218719016E+05,    0.1135997177E+05,    0.1181731252E+05,    0.6587991318E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.5191588960E+07
  27,0.112E+02,.57735E+00,  3522.881, 0.843E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.123E-03,0.247E+03,0.418E-04,.11536E+04,0.607E-04,  15.53645,  -0.01563,    0.2224699632E+05,    0.1136040395E+05,    0.1180845213E+05,    0.6588126048E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.4584976701E+07
  28,0.112E+02,.57735E+00,  3522.881, 0.995E-03, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.140E-03,0.279E+03,0.440E-04,.11543E+04,0.686E-04,  15.52324,  -0.01560,    0.2231809169E+05,    0.1136091814E+05,    0.1179792191E+05,    0.6588286058E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.4048480521E+07
  29,0.112E+02,.57735E+00,  3522.881, 0.118E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.158E-03,0.316E+03,0.463E-04,.11551E+04,0.776E-04,  15.50691,  -0.01557,    0.2240269247E+05,    0.1136153063E+05,    0.1178539517E+05,    0.6588476251E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.3573955814E+07
  30,0.112E+02,.57735E+00,  3522.881, 0.139E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.179E-03,0.357E+03,0.488E-04,.11561E+04,0.877E-04,  15.48685,  -0.01554,    0.2250345907E+05,    0.1136226102E+05,    0.1177048018E+05,    0.6588702484E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.3154203824E+07
  31,0.112E+02,.57735E+00,  3522.881, 0.165E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.202E-03,0.404E+03,0.515E-04,.11573E+04,0.991E-04,  15.46237,  -0.01550,    0.2262358482E+05,    0.1136313298E+05,    0.1175270744E+05,    0.6588971747E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.2782862484E+07
  32,0.112E+02,.57735E+00,  3522.881, 0.196E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.229E-03,0.457E+03,0.544E-04,.11586E+04,0.112E-03,  15.43265,  -0.01545,    0.2276690172E+05,    0.1136417505E+05,    0.1173151451E+05,    0.6589292375E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.2454310046E+07
  33,0.112E+02,.57735E+00,  3522.881, 0.233E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.258E-03,0.517E+03,0.576E-04,.11603E+04,0.126E-03,  15.39669,  -0.01540,    0.2293800610E+05,    0.1136542170E+05,    0.1170622819E+05,    0.6589674286E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.2163580016E+07
  34,0.112E+02,.57735E+00,  3522.881, 0.277E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.292E-03,0.585E+03,0.609E-04,.11623E+04,0.143E-03,  15.35335,  -0.01534,    0.2314240758E+05,    0.1136691458E+05,    0.1167604352E+05,    0.6590129251E+04,    0.1541407535E+06,   -0.3612495526E+06,    0.1906286079E+07
