   1422.10     278.44    1448.00       0.58       0.25   9.36 0.521E+01 0.110E+01 .1433 0.112E+02 .8400 .0710 AUTO      AUTO      SOLAR     SUN       NO        AUTO       Teff,Tint,Teq0,mu,f,grav,Gv1,Gv2,Gv3,Gp,Beta,Ab,ROSS,COEFF,COMP,STAR,CONV,ALBEDO
  
  
(1)N (2)P(Pa)   (3)T(K)   (4)Tau    (5)Kr(m^2/kg)(6)Gradad (7)Gradrad  (8)PRC (Pa)
  55 0.779E+04   1485.851 0.163E+00 0.354E-03 0.270E+00 0.206E+00       NaN
  56 0.881E+04   1524.142 0.207E+00 0.404E-03 0.269E+00 0.197E+00       NaN
  57 0.997E+04   1561.695 0.264E+00 0.455E-03 0.268E+00 0.181E+00       NaN
  58 0.113E+05   1597.029 0.334E+00 0.507E-03 0.267E+00 0.160E+00       NaN
  59 0.128E+05   1628.824 0.422E+00 0.555E-03 0.266E+00 0.134E+00       NaN
  60 0.144E+05   1656.012 0.529E+00 0.599E-03 0.265E+00 0.106E+00       NaN
  61 0.163E+05   1677.790 0.659E+00 0.639E-03 0.264E+00 0.764E-01       NaN
  62 0.185E+05   1693.677 0.813E+00 0.673E-03 0.264E+00 0.474E-01       NaN
  63 0.209E+05   1703.606 0.995E+00 0.704E-03 0.263E+00 0.211E-01       NaN
  64 0.236E+05   1708.034 0.121E+01 0.731E-03 0.263E+00 -.376E-03       NaN
  65 0.267E+05   1707.955 0.146E+01 0.756E-03 0.263E+00 -.150E-01       NaN
  66 0.302E+05   1704.799 0.175E+01 0.779E-03 0.263E+00 -.219E-01       NaN
  67 0.342E+05   1700.211 0.209E+01 0.803E-03 0.263E+00 -.213E-01       NaN
  68 0.387E+05   1695.749 0.249E+01 0.827E-03 0.263E+00 -.151E-01       NaN
  69 0.438E+05   1692.596 0.295E+01 0.854E-03 0.264E+00 -.591E-02       NaN
  70 0.495E+05   1691.362 0.350E+01 0.885E-03 0.264E+00 0.339E-02       NaN
  71 0.560E+05   1692.070 0.413E+01 0.920E-03 0.264E+00 0.107E-01       NaN
  72 0.634E+05   1694.298 0.489E+01 0.959E-03 0.264E+00 0.150E-01       NaN
  73 0.717E+05   1697.430 0.578E+01 0.100E-02 0.263E+00 0.165E-01       NaN
  74 0.811E+05   1700.880 0.683E+01 0.105E-02 0.263E+00 0.159E-01       NaN
  75 0.917E+05   1704.220 0.808E+01 0.110E-02 0.263E+00 0.142E-01       NaN
  76 0.104E+06   1707.199 0.956E+01 0.115E-02 0.263E+00 0.119E-01       NaN
  77 0.117E+06   1709.708 0.113E+02 0.121E-02 0.263E+00 0.962E-02       NaN
  78 0.133E+06   1711.736 0.134E+02 0.127E-02 0.263E+00 0.762E-02       NaN
  79 0.150E+06   1713.345 0.159E+02 0.133E-02 0.263E+00 0.616E-02       NaN
  80 0.170E+06   1714.646 0.188E+02 0.140E-02 0.263E+00 0.534E-02       NaN
  81 0.192E+06   1715.775 0.224E+02 0.147E-02 0.263E+00 0.516E-02       NaN
  82 0.217E+06   1716.867 0.265E+02 0.155E-02 0.263E+00 0.554E-02       NaN
  83 0.246E+06   1718.040 0.315E+02 0.164E-02 0.263E+00 0.633E-02       NaN
