N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0,t_th
  56,0.683E+01,.57735E+00,  3522.881, 0.354E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.441E-02,0.881E+04,0.656E-03,.19547E+04,0.128E-02,  -1.31364,   0.00310,    0.2127009287E+06,    0.3742296703E+05,    0.5327354519E+04,    0.1836873181E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1941612352E+06,    0.1981145075E+04
  57,0.683E+01,.57735E+00,  3522.881, 0.408E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.498E-02,0.997E+04,0.670E-03,.19694E+04,0.144E-02,  -1.54314,   0.00345,    0.2196015683E+06,    0.3804572333E+05,    0.4945806734E+04,    0.1822914977E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1717906916E+06,    0.1898134867E+04
  58,0.683E+01,.57735E+00,  3522.881, 0.470E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.564E-02,0.113E+05,0.684E-03,.19850E+04,0.161E-02,  -1.78698,   0.00381,    0.2269953225E+06,    0.3875927192E+05,    0.4576208451E+04,    0.1805539893E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1522385827E+06,    0.1814647290E+04
  59,0.683E+01,.57735E+00,  3522.881, 0.543E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.638E-02,0.128E+05,0.700E-03,.20012E+04,0.181E-02,  -2.04341,   0.00421,    0.2348843396E+06,    0.3957609310E+05,    0.4202822416E+04,    0.1783951931E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1351595376E+06,    0.1731045043E+04
  60,0.683E+01,.57735E+00,  3522.881, 0.627E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.721E-02,0.144E+05,0.717E-03,.20181E+04,0.203E-02,  -2.31017,   0.00462,    0.2432366374E+06,    0.4050999846E+05,    0.3817368635E+04,    0.1757204125E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1202462311E+06,    0.1647669487E+04
  61,0.683E+01,.57735E+00,  3522.881, 0.724E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.816E-02,0.163E+05,0.736E-03,.20353E+04,0.228E-02,  -2.58445,   0.00506,    0.2519837525E+06,    0.4157606464E+05,    0.3417865447E+04,    0.1724187582E+05,    0.4025672026E+06,    0.4533332048E+06,    0.1072245686E+06,    0.1564859907E+04
  62,0.683E+01,.57735E+00,  3522.881, 0.837E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.923E-02,0.185E+05,0.757E-03,.20527E+04,0.255E-02,  -2.86288,   0.00552,    0.2610194796E+06,    0.4279040025E+05,    0.3006992836E+04,    0.1683631067E+05,    0.4025672026E+06,    0.4533332048E+06,    0.9584922296E+05,    0.1482979496E+04
  63,0.683E+01,.57735E+00,  3522.881, 0.969E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.104E-01,0.209E+05,0.781E-03,.20698E+04,0.286E-02,  -3.14152,   0.00599,    0.2701992175E+06,    0.4416963430E+05,    0.2590688925E+04,    0.1634119969E+05,    0.4025672026E+06,    0.4533332048E+06,    0.8589957509E+05,    0.1402442237E+04
  64,0.683E+01,.57735E+00,  3522.881, 0.112E+01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.118E-01,0.236E+05,0.807E-03,.20865E+04,0.321E-02,  -3.41588,   0.00648,    0.2793406631E+06,    0.4572997216E+05,    0.2177228346E+04,    0.1574147401E+05,    0.4025672026E+06,    0.4533332048E+06,    0.7717601574E+05,    0.1323732268E+04
  65,0.683E+01,.57735E+00,  3522.881, 0.131E+01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.134E-01,0.267E+05,0.837E-03,.21024E+04,0.361E-02,  -3.68104,   0.00698,    0.2882278463E+06,    0.4748563213E+05,    0.1776616516E+04,    0.1502214063E+05,    0.4025672026E+06,    0.4533332048E+06,    0.6949670768E+05,    0.1247405857E+04
  66,0.683E+01,.57735E+00,  3522.881, 0.152E+01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.151E-01,0.302E+05,0.871E-03,.21171E+04,0.405E-02,  -3.93177,   0.00748,    0.2966212410E+06,    0.4944647890E+05,    0.1399967628E+04,    0.1416994910E+05,    0.4025672026E+06,    0.4533332048E+06,    0.6269526781E+05,    0.1174067288E+04
  67,0.683E+01,.57735E+00,  3522.881, 0.177E+01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.171E-01,0.342E+05,0.909E-03,.21302E+04,0.456E-02,  -4.16283,   0.00797,    0.3042764800E+06,    0.5161475011E+05,    0.1058586966E+04,    0.1317585653E+05,    0.4025672026E+06,    0.4533332048E+06,    0.5662017364E+05,    0.1104314894E+04
  68,0.683E+01,.57735E+00,  3522.881, 0.207E+01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.193E-01,0.387E+05,0.952E-03,.21415E+04,0.513E-02,  -4.36937,   0.00846,    0.3109725466E+06,    0.5398097981E+05,    0.7626409262E+03,    0.1203825526E+05,    0.4025672026E+06,    0.4533332048E+06,    0.5113670540E+05,    0.1038662219E+04
  69,0.683E+01,.57735E+00,  3522.881, 0.242E+01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.219E-01,0.438E+05,0.998E-03,.21507E+04,0.578E-02,  -4.54746,   0.00893,    0.3165467229E+06,    0.5651958256E+05,    0.5195188218E+03,    0.1076661002E+05,    0.4025672026E+06,    0.4533332048E+06,    0.4613157398E+05,    0.9774500010E+03
  70,0.683E+01,.57735E+00,  3522.881, 0.284E+01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.248E-01,0.495E+05,0.105E-02,.21579E+04,0.651E-02,  -4.69477,   0.00939,    0.3209284327E+06,    0.5918503768E+05,    0.3322497507E+03,    0.9384717228E+04,    0.4025672026E+06,    0.4533332048E+06,    0.4151895465E+05,    0.9207739286E+03
  71,0.683E+01,.57735E+00,  3522.881, 0.335E+01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.280E-01,0.560E+05,0.110E-02,.21632E+04,0.735E-02,  -4.81113,   0.00983,    0.3241596473E+06,    0.6191005156E+05,    0.1985508170E+03,    0.7932406171E+04,    0.4025672026E+06,    0.4533332048E+06,    0.3724493494E+05,    0.8684559513E+03
  72,0.683E+01,.57735E+00,  3522.881, 0.394E+01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.317E-01,0.634E+05,0.116E-02,.21668E+04,0.830E-02,  -4.89879,   0.01025,    0.3263897016E+06,    0.6460723448E+05,    0.1110762467E+03,    0.6464417175E+04,    0.4025672026E+06,    0.4533332048E+06,    0.3328663381E+05,    0.8200785364E+03
  73,0.683E+01,.57735E+00,  3522.881, 0.466E+01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.358E-01,0.717E+05,0.123E-02,.21692E+04,0.938E-02,  -4.96225,   0.01067,    0.3278403835E+06,    0.6717546773E+05,    0.5906477334E+02,    0.5045653308E+04,    0.4025672026E+06,    0.4533332048E+06,    0.2964384511E+05,    0.7750801219E+03
  74,0.683E+01,.57735E+00,  3522.881, 0.551E+01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.405E-01,0.811E+05,0.130E-02,.21707E+04,0.106E-01,  -5.00739,   0.01108,    0.3287513177E+06,    0.6951117888E+05,    0.3092384129E+02,    0.3743000432E+04,    0.4025672026E+06,    0.4533332048E+06,    0.2632503511E+05,    0.7328823304E+03
  75,0.683E+01,.57735E+00,  3522.881, 0.652E+01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.459E-01,0.917E+05,0.137E-02,.21716E+04,0.120E-01,  -5.04027,   0.01150,    0.3293275862E+06,    0.7152333128E+05,    0.1673082747E+02,    0.2615096984E+04,    0.4025672026E+06,    0.4533332048E+06,    0.2333347166E+05,    0.6930009074E+03
  76,0.683E+01,.57735E+00,  3522.881, 0.774E+01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.519E-01,0.104E+06,0.145E-02,.21723E+04,0.136E-01,  -5.06601,   0.01194,    0.3297111421E+06,    0.7314936012E+05,    0.9640971946E+01,    0.1702321475E+04,    0.4025672026E+06,    0.4533332048E+06,    0.2065964778E+05,    0.6550994045E+03
  77,0.683E+01,.57735E+00,  3522.881, 0.919E+01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.587E-01,0.117E+06,0.153E-02,.21727E+04,0.153E-01,  -5.08811,   0.01240,    0.3299828923E+06,    0.7436793194E+05,    0.5862070385E+01,    0.1019572722E+04,    0.4025672026E+06,    0.4533332048E+06,    0.1828198510E+05,    0.6189776106E+03
  78,0.683E+01,.57735E+00,  3522.881, 0.109E+02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.664E-01,0.133E+06,0.162E-02,.21730E+04,0.173E-01,  -5.10862,   0.01289,    0.3301841732E+06,    0.7520388144E+05,    0.3691635737E+01,    0.5541381286E+03,    0.4025672026E+06,    0.4533332048E+06,    0.1617253940E+05,    0.5845222536E+03
  79,0.683E+01,.57735E+00,  3522.881, 0.130E+02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.751E-01,0.150E+06,0.171E-02,.21733E+04,0.196E-01,  -5.12860,   0.01341,    0.3303392772E+06,    0.7572195294E+05,    0.2445281262E+01,    0.2699928044E+03,    0.4025672026E+06,    0.4533332048E+06,    0.1430268534E+05,    0.5516581403E+03
  80,0.683E+01,.57735E+00,  3522.881, 0.155E+02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.849E-01,0.170E+06,0.182E-02,.21735E+04,0.222E-01,  -5.14874,   0.01396,    0.3304679801E+06,    0.7600973773E+05,    0.1788857131E+01,    0.1179542014E+03,    0.4025672026E+06,    0.4533332048E+06,    0.1264609190E+05,    0.5203208917E+03
  81,0.683E+01,.57735E+00,  3522.881, 0.185E+02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.961E-01,0.192E+06,0.193E-02,.21737E+04,0.251E-01,  -5.16961,   0.01456,    0.3305883967E+06,    0.7615543329E+05,    0.1489829499E+01,    0.4848857689E+02,    0.4025672026E+06,    0.4533332048E+06,    0.1117930953E+05,    0.4904496309E+03
  82,0.683E+01,.57735E+00,  3522.881, 0.221E+02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.109E+00,0.217E+06,0.205E-02,.21739E+04,0.284E-01,  -5.19175,   0.01519,    0.3307157907E+06,    0.7622939493E+05,    0.1376811139E+01,    0.2222355183E+02,    0.4025672026E+06,    0.4533332048E+06,    0.9881374690E+04,    0.4619881583E+03
  83,0.683E+01,.57735E+00,  3522.881, 0.265E+02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.123E+00,0.246E+06,0.217E-02,.21741E+04,0.321E-01,  -5.21564,   0.01587,    0.3308617275E+06,    0.7627647930E+05,    0.1342751293E+01,    0.1430790475E+02,    0.4025672026E+06,    0.4533332048E+06,    0.8733377152E+04,    0.4348860306E+03
  84,0.683E+01,.57735E+00,  3522.881, 0.317E+02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.139E+00,0.278E+06,0.231E-02,.21744E+04,0.363E-01,  -5.24166,   0.01660,    0.3310348384E+06,    0.7631947670E+05,    0.1334928162E+01,    0.1248977394E+02,    0.4025672026E+06,    0.4533332048E+06,    0.7718250109E+04,    0.4090971434E+03
  85,0.683E+01,.57735E+00,  3522.881, 0.379E+02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.157E+00,0.315E+06,0.245E-02,.21748E+04,0.411E-01,  -5.27015,   0.01738,    0.3312424853E+06,    0.7636786183E+05,    0.1333630131E+01,    0.1218810563E+02,    0.4025672026E+06,    0.4533332048E+06,    0.6820692413E+04,    0.3845770944E+03
  86,0.683E+01,.57735E+00,  3522.881, 0.455E+02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.178E+00,0.356E+06,0.261E-02,.21752E+04,0.465E-01,  -5.30139,   0.01822,    0.3314922849E+06,    0.7642551068E+05,    0.1333484204E+01,    0.1215419143E+02,    0.4025672026E+06,    0.4533332048E+06,    0.6027087453E+04,    0.3612810725E+03
  87,0.683E+01,.57735E+00,  3522.881, 0.545E+02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.201E+00,0.403E+06,0.278E-02,.21757E+04,0.525E-01,  -5.33570,   0.01911,    0.3317930740E+06,    0.7649486163E+05,    0.1333473909E+01,    0.1215179897E+02,    0.4025672026E+06,    0.4533332048E+06,    0.5325371678E+04,    0.3391629009E+03
  88,0.683E+01,.57735E+00,  3522.881, 0.655E+02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.228E+00,0.455E+06,0.296E-02,.21763E+04,0.594E-01,  -5.37342,   0.02007,    0.3321554782E+06,    0.7657841405E+05,    0.1333473494E+01,    0.1215170241E+02,    0.4025672026E+06,    0.4533332048E+06,    0.4704875249E+04,    0.3181749188E+03
  89,0.683E+01,.57735E+00,  3522.881, 0.786E+02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.258E+00,0.515E+06,0.315E-02,.21770E+04,0.672E-01,  -5.41496,   0.02111,    0.3325923655E+06,    0.7667913838E+05,    0.1333473485E+01,    0.1215170041E+02,    0.4025672026E+06,    0.4533332048E+06,    0.4156164617E+04,    0.2982682064E+03
  90,0.683E+01,.57735E+00,  3522.881, 0.945E+02,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.291E+00,0.583E+06,0.336E-02,.21778E+04,0.760E-01,  -5.46078,   0.02221,    0.3331193412E+06,    0.7680063259E+05,    0.1333473485E+01,    0.1215170039E+02,    0.4025672026E+06,    0.4533332048E+06,    0.3670899623E+04,    0.2793928799E+03
  91,0.683E+01,.57735E+00,  3522.881, 0.114E+03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.330E+00,0.659E+06,0.359E-02,.21789E+04,0.859E-01,  -5.51140,   0.02340,    0.3337553467E+06,    0.7694726360E+05,    0.1333473485E+01,    0.1215170039E+02,    0.4025672026E+06,    0.4533332048E+06,    0.3241706657E+04,    0.2614983693E+03
  92,0.683E+01,.57735E+00,  3522.881, 0.137E+03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.373E+00,0.746E+06,0.383E-02,.21801E+04,0.971E-01,  -5.56747,   0.02467,    0.3345233933E+06,    0.7712433667E+05,    0.1333473485E+01,    0.1215170039E+02,    0.4025672026E+06,    0.4533332048E+06,    0.2862066501E+04,    0.2445336638E+03
  93,0.683E+01,.57735E+00,  3522.881, 0.165E+03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.422E+00,0.844E+06,0.409E-02,.21817E+04,0.110E+00,  -5.62970,   0.02604,    0.3354514667E+06,    0.7733830389E+05,    0.1333473485E+01,    0.1215170039E+02,    0.4025672026E+06,    0.4533332048E+06,    0.2526215182E+04,    0.2284475292E+03
  94,0.683E+01,.57735E+00,  3522.881, 0.199E+03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.477E+00,0.954E+06,0.437E-02,.21835E+04,0.124E+00,  -5.69895,   0.02752,    0.3365736441E+06,    0.7759702179E+05,    0.1333473485E+01,    0.1215170039E+02,    0.4025672026E+06,    0.4533332048E+06,    0.2229056315E+04,    0.2131887021E+03
  95,0.683E+01,.57735E+00,  3522.881, 0.240E+03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.540E+00,0.108E+07,0.468E-02,.21857E+04,0.140E+00,  -5.77623,   0.02910,    0.3379314813E+06,    0.7791007103E+05,    0.1333473485E+01,    0.1215170039E+02,    0.4025672026E+06,    0.4533332048E+06,    0.1966083617E+04,    0.1987060709E+03
  96,0.683E+01,.57735E+00,  3522.881, 0.289E+03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.611E+00,0.122E+07,0.501E-02,.21883E+04,0.158E+00,  -5.86274,   0.03081,    0.3395757414E+06,    0.7828915505E+05,    0.1333473485E+01,    0.1215170039E+02,    0.4025672026E+06,    0.4533332048E+06,    0.1733312395E+04,    0.1849488543E+03
  97,0.683E+01,.57735E+00,  3522.881, 0.349E+03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.691E+00,0.138E+07,0.537E-02,.21915E+04,0.179E+00,  -5.95988,   0.03266,    0.3415685625E+06,    0.7874859975E+05,    0.1333473485E+01,    0.1215170039E+02,    0.4025672026E+06,    0.4533332048E+06,    0.1527218975E+04,    0.1718667916E+03
  98,0.683E+01,.57735E+00,  3522.881, 0.422E+03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.781E+00,0.156E+07,0.575E-02,.21954E+04,0.202E+00,  -6.06931,   0.03465,    0.3439861938E+06,    0.7930598441E+05,    0.1333473485E+01,    0.1215170039E+02,    0.4025672026E+06,    0.4533332048E+06,    0.1344687117E+04,    0.1594103635E+03
  99,0.683E+01,.57735E+00,  3522.881, 0.511E+03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.884E+00,0.177E+07,0.618E-02,.22001E+04,0.228E+00,  -6.19300,   0.03681,    0.3469224763E+06,    0.7998294408E+05,    0.1333473485E+01,    0.1215170039E+02,    0.4025672026E+06,    0.4533332048E+06,    0.1182960603E+04,    0.1475310662E+03
 100,0.683E+01,.57735E+00,  3522.881, 0.618E+03,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83556,   8.70496,   0.20557,   8.28949,   0.20972,0.100E+01,0.200E+07,0.664E-02,.22057E+04,0.301-313,  -6.33329,   0.03916,    0.3504933107E+06,    0.8080619960E+05,    0.1333473485E+01,    0.1215170039E+02,    0.4025672026E+06,    0.4533332048E+06,    0.0000000000E+00,    0.2159280309-316
